Step,Value
0,-1281.66064453125
100,-1126.1689453125
200,-1248.9229736328125
300,-1334.72509765625
400,-1115.0653076171875
500,-1149.587890625
600,-1461.320068359375
700,-1216.5989990234375
800,-1406.4154052734375
900,-1395.242919921875
1000,-1281.5606689453125
1100,-1332.9027099609375
1200,-1437.49755859375
1300,-1406.381591796875
1400,-1521.134521484375
1500,-1618.7752685546875
1600,-1407.75927734375
1700,-1440.8203125
1800,-1434.4031982421875
1900,-1706.6912841796875
2000,-1420.825439453125
2100,-1318.6033935546875
2200,-1557.5341796875
2300,-1396.857666015625
2400,-1420.7989501953125
2500,-1368.9586181640625
2600,-1510.792724609375
2700,-1298.650390625
2800,-1443.24365234375
2900,-1369.6966552734375
3000,-1482.8392333984375
3100,-1233.9302978515625
3200,-1254.21337890625
3300,-1227.1448974609375
3400,-1318.317138671875
3500,-1198.7725830078125
3600,-1092.826904296875
3700,-1082.415771484375
3800,-1139.7838134765625
3900,-1109.78515625
4000,-1071.5491943359375
4100,-912.3129272460938
4200,-1007.606201171875
4300,-785.2042846679688
4400,-1039.4801025390625
4500,-942.4000854492188
4600,-1082.4189453125
4700,-900.75927734375
4800,-852.9405517578125
4900,-829.251708984375
5000,-813.4304809570312
5100,-643.463623046875
5200,-847.6021728515625
5300,-658.3302612304688
5400,-643.3910522460938
5500,-594.4946899414062
5600,-546.8966674804688
5700,-445.47943115234375
5800,-430.7976379394531
5900,-698.4833984375
6000,-408.4759216308594
6100,-505.96063232421875
6200,-582.455810546875
6300,-331.19873046875
6400,-438.9065246582031
6500,-556.1249389648438
6600,-290.84515380859375
6700,-352.8878173828125
6800,-247.15225219726562
6900,-197.90345764160156
7000,-384.7908630371094
7100,-127.06412506103516
7200,-228.82437133789062
7300,-123.0115966796875
7400,-204.99957275390625
7500,-147.82778930664062
7600,-241.06622314453125
7700,-204.28915405273438
7800,-75.93829345703125
7900,-306.233642578125
